ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Np Likeness Score,Molecular Species,Molecular Formula,Smiles,Inchi Key,Inchi,Withdrawn Flag,Orphan,Records Key,Records Name,Unnamed: 38
CHEMBL5268562,,,,,337.43,4,5,1.69,83.28,5,3,0,5,N,0.77,,8.88,1.36,-0.13,2,MOL,-1,25,6,4,0,337.1903,-1.18,BASE,C19H23N5O,NC(=O)c1ccc(NC2(c3cccc(N4CCNCC4)c3)CC2)nc1,QWAKAIXHRUUFTN-UHFFFAOYSA-N,"InChI=1S/C19H23N5O/c20-18(25)14-4-5-17(22-13-14)23-19(6-7-19)15-2-1-3-16(12-15)24-10-8-21-9-11-24/h1-5,12-13,21H,6-11H2,(H2,20,25)(H,22,23)",False,-1,['21'],['6-((1-(3-(piperazin-1-yl)phenyl)cyclopropyl)amino)nicotinamide'],
CHEMBL5279532,,,,,253.31,1,1,2.28,68.01,3,2,0,4,N,0.88,,4.97,1.79,1.79,2,MOL,-1,19,4,3,0,253.1215,-1.0,NEUTRAL,C15H15N3O,NC(=O)c1ccc(NC2(c3ccccc3)CC2)nc1,NGEALBNRNBBBMR-UHFFFAOYSA-N,"InChI=1S/C15H15N3O/c16-14(19)11-6-7-13(17-10-11)18-15(8-9-15)12-4-2-1-3-5-12/h1-7,10H,8-9H2,(H2,16,19)(H,17,18)",False,-1,['20'],['6-((1-phenylcyclopropyl)amino)nicotinamide'],
CHEMBL5274574,,,,,315.38,1,1,0.35,93.25,5,2,0,4,N,0.85,,10.03,-0.94,-3.48,2,MOL,-1,23,7,3,0,315.1695,-1.45,BASE,C16H21N5O2,CN(C(=O)Cn1ccc2cc(C(N)=O)cnc21)C1CCNCC1,YUSVGPVICZUTKJ-UHFFFAOYSA-N,"InChI=1S/C16H21N5O2/c1-20(13-2-5-18-6-3-13)14(22)10-21-7-4-11-8-12(15(17)23)9-19-16(11)21/h4,7-9,13,18H,2-3,5-6,10H2,1H3,(H2,17,23)",False,-1,['31'],"['1-(2-(methyl(piperidin-4-yl)amino)-2-oxoethyl)-1H-pyrrolo[2,3-b]pyridine-5-carboxamide']",
CHEMBL4583618,,,Unknown,,446.58,2,3,4.7,76.14,6,2,0,10,N,0.37,,8.5,4.69,3.56,4,MOL,-1,32,6,2,0,446.1776,-1.53,BASE,C25H26N4O2S,CCCOc1ncnc2scc(C(=O)NCc3ccc(CNCc4ccccc4)cc3)c12,UZYOQDUSVLESNU-UHFFFAOYSA-N,"InChI=1S/C25H26N4O2S/c1-2-12-31-24-22-21(16-32-25(22)29-17-28-24)23(30)27-15-20-10-8-19(9-11-20)14-26-13-18-6-4-3-5-7-18/h3-11,16-17,26H,2,12-15H2,1H3,(H,27,30)",False,-1,['40'],"['N-(4-((Benzylamino)methyl)benzyl)-4-propoxythieno[2,3-d]-pyrimidine-5-carboxamide']",xxxxx
CHEMBL4456048,,,Unknown,,398.49,2,3,2.46,76.58,7,1,0,6,N,0.69,,6.94,2.25,2.12,3,MOL,-1,28,7,1,0,398.1413,-1.98,NEUTRAL,C20H22N4O3S,COc1ncnc2scc(C(=O)NCc3ccc(CN4CCOCC4)cc3)c12,RIMSQILFGBJDSY-UHFFFAOYSA-N,"InChI=1S/C20H22N4O3S/c1-26-19-17-16(12-28-20(17)23-13-22-19)18(25)21-10-14-2-4-15(5-3-14)11-24-6-8-27-9-7-24/h2-5,12-13H,6-11H2,1H3,(H,21,25)",False,-1,['45'],"['4-Methoxy-N-(4-(morpholinomethyl)benzyl)thieno[2,3-d]-pyrimidine-5-carboxamide']",
CHEMBL4547571,,,Unknown,,467.46,12,15,0.95,166.41,9,5,0,6,N,0.26,9.55,0.28,-0.09,-0.09,4,MOL,-1,33,11,5,1,467.09,-0.88,NEUTRAL,C21H17N5O6S,O=C(NCc1ccc(CNC(=O)c2cc(=O)c(O)cn2O)cc1)c1csc2nc[nH]c(=O)c12,SNGVPWMEHVBZGP-UHFFFAOYSA-N,"InChI=1S/C21H17N5O6S/c27-15-5-14(26(32)8-16(15)28)19(30)23-7-12-3-1-11(2-4-12)6-22-18(29)13-9-33-21-17(13)20(31)24-10-25-21/h1-5,8-10,28,32H,6-7H2,(H,22,29)(H,23,30)(H,24,25,31)",False,-1,['53'],"['N-(4-((1,5-Dihydroxy-4-oxo-1,4-dihydropyridine-2-carboxamido)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]-pyrimidine-5-carboxamide']",
CHEMBL4446167,,,Unknown,,580.62,12,15,1.63,195.51,10,6,2,12,N,0.11,9.57,0.28,0.22,0.22,4,MOL,-1,41,13,6,3,580.174,-0.85,NEUTRAL,C27H28N6O7S,O=C(CCCCCNC(=O)c1cc(=O)c(O)cn1O)NCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,ZUFOMMQJIVWSPK-UHFFFAOYSA-N,"InChI=1S/C27H28N6O7S/c34-20-10-19(33(40)13-21(20)35)25(38)28-9-3-1-2-4-22(36)29-11-16-5-7-17(8-6-16)12-30-24(37)18-14-41-27-23(18)26(39)31-15-32-27/h5-8,10,13-15,35,40H,1-4,9,11-12H2,(H,28,38)(H,29,36)(H,30,37)(H,31,32,39)",False,-1,['57'],"['N-(4-(((5-(1,5-Dihydroxy-4-oxo-1,4-dihydropyridine-2-carboxamido)pentyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4439772,,,Unknown,,370.48,7,7,2.76,78.09,5,2,0,7,N,0.67,9.85,9.21,1.63,0.15,3,MOL,-1,26,6,2,0,370.1463,-1.77,BASE,C19H22N4O2S,CCN(CC)Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,SNPTXDKRQKLKGA-UHFFFAOYSA-N,"InChI=1S/C19H22N4O2S/c1-3-23(4-2)10-14-7-5-13(6-8-14)9-20-17(24)15-11-26-19-16(15)18(25)21-12-22-19/h5-8,11-12H,3-4,9-10H2,1-2H3,(H,20,24)(H,21,22,25)",False,-1,['11'],"['N-(4-((Diethylamino)methyl)benzyl)-4-oxo-3,4-dihydrothieno-[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4458857,,,Unknown,,454.64,6,6,5.1,78.09,5,2,1,13,N,0.35,9.96,9.36,4.32,2.65,3,MOL,-1,32,6,2,1,454.2402,-1.45,BASE,C25H34N4O2S,CCCCCCCCN(CC)Cc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,QJTCDFWLYLMNSV-UHFFFAOYSA-N,"InChI=1S/C25H34N4O2S/c1-3-5-6-7-8-9-14-29(4-2)16-20-12-10-19(11-13-20)15-26-23(30)21-17-32-25-22(21)24(31)27-18-28-25/h10-13,17-18H,3-9,14-16H2,1-2H3,(H,26,30)(H,27,28,31)",False,-1,['19'],"['N-(4-((Ethyl(octyl)amino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
CHEMBL4517402,,,Unknown,,426.59,15,53,4.36,86.88,5,3,0,12,N,0.38,9.94,9.33,3.6,1.99,3,MOL,-1,30,6,3,0,426.2089,-1.08,BASE,C23H30N4O2S,CCCCCCCCNCc1ccc(CNC(=O)c2csc3nc[nH]c(=O)c23)cc1,SZWXXUKSELBLQK-UHFFFAOYSA-N,"InChI=1S/C23H30N4O2S/c1-2-3-4-5-6-7-12-24-13-17-8-10-18(11-9-17)14-25-21(28)19-15-30-23-20(19)22(29)26-16-27-23/h8-11,15-16,24H,2-7,12-14H2,1H3,(H,25,28)(H,26,27,29)",False,-1,['15'],"['N-(4-((Octylamino)methyl)benzyl)-4-oxo-3,4-dihydrothieno[2,3-d]pyrimidine-5-carboxamide']",
