Protein Code,Docking Score
4740.pdbqt,-9.057
7488.pdbqt,-9.055
5516.pdbqt,-9.055
5033.pdbqt,-9.055
4160.pdbqt,-9.055
1334.pdbqt,-9.055
2364.pdbqt,-9.054
3302.pdbqt,-9.053
8228.pdbqt,-9.052
5370.pdbqt,-9.052
766.pdbqt,-9.052
4576.pdbqt,-9.049
7372.pdbqt,-9.049
7278.pdbqt,-9.049
2132.pdbqt,-9.049
7136.pdbqt,-9.048
8416.pdbqt,-9.047
8122.pdbqt,-9.047
1562.pdbqt,-9.045
5338.pdbqt,-9.043
4845.pdbqt,-9.042
7386.pdbqt,-9.042
2229.pdbqt,-9.041
8354.pdbqt,-9.041
2576.pdbqt,-9.04
3066.pdbqt,-9.039
3692.pdbqt,-9.038
7834.pdbqt,-9.038
5948.pdbqt,-9.037
8234.pdbqt,-9.037
4796.pdbqt,-9.037
1766.pdbqt,-9.036
1988.pdbqt,-9.035
7224.pdbqt,-9.035
5532.pdbqt,-9.034
5721.pdbqt,-9.034
266.pdbqt,-9.034
6207.pdbqt,-9.034
6016.pdbqt,-9.033
4502.pdbqt,-9.033
1226.pdbqt,-9.033
3722.pdbqt,-9.032
5618.pdbqt,-9.032
7976.pdbqt,-9.032
3952.pdbqt,-9.031
1486.pdbqt,-9.03
3638.pdbqt,-9.03
2624.pdbqt,-9.029
2428.pdbqt,-9.029
5968.pdbqt,-9.029
3993.pdbqt,-9.029
6900.pdbqt,-9.027
301.pdbqt,-9.027
554.pdbqt,-9.025
1814.pdbqt,-9.024
5600.pdbqt,-9.024
7300.pdbqt,-9.024
6488.pdbqt,-9.024
234.pdbqt,-9.023
1144.pdbqt,-9.023
8788.pdbqt,-9.023
8524.pdbqt,-9.022
632.pdbqt,-9.022
5161.pdbqt,-9.021
3376.pdbqt,-9.021
6874.pdbqt,-9.019
7564.pdbqt,-9.017
2974.pdbqt,-9.017
8824.pdbqt,-9.016
2692.pdbqt,-9.016
9105.pdbqt,-9.016
4792.pdbqt,-9.015
1198.pdbqt,-9.014
2891.pdbqt,-9.013
7424.pdbqt,-9.013
4736.pdbqt,-9.012
6189.pdbqt,-9.012
7286.pdbqt,-9.011
4484.pdbqt,-9.011
406.pdbqt,-9.01
8500.pdbqt,-9.009
7966.pdbqt,-9.008
5404.pdbqt,-9.008
3258.pdbqt,-9.007
3206.pdbqt,-9.007
2938.pdbqt,-9.007
4108.pdbqt,-9.006
5420.pdbqt,-9.005
4988.pdbqt,-9.005
8326.pdbqt,-9.005
8678.pdbqt,-9.004
3111.pdbqt,-9.004
3766.pdbqt,-9.004
1514.pdbqt,-9.003
686.pdbqt,-9.002
8104.pdbqt,-9.002
3705.pdbqt,-9.002
7928.pdbqt,-9.001
3399.pdbqt,-9.001
4832.pdbqt,-9.001
8012.pdbqt,-9.001
6230.pdbqt,-9.0
1692.pdbqt,-8.999
8804.pdbqt,-8.999
6472.pdbqt,-8.997
8320.pdbqt,-8.997
